Server,HTTPS,Anonymous,Google,Country
95.47.234.1:8080,False,False,False,RU
180.211.248.222:8080,True,False,False,BD
41.164.243.177:8080,False,False,False,ZA
103.70.145.211:8080,True,False,False,IN
143.110.151.242:3128,False,False,True,US
45.182.41.36:8080,False,False,False,CO
36.94.196.173:8080,False,False,False,ID
46.4.35.210:8080,True,False,False,DE
103.250.69.233:8080,False,False,False,BD
139.162.33.77:8080,True,False,False,SG
45.32.131.8:3128,False,False,False,US
103.255.242.38:8080,False,False,False,ID
202.162.198.93:8080,True,True,False,ID
180.180.170.188:8080,True,False,False,TH
154.72.204.122:8080,False,False,False,UG
103.233.152.140:8080,False,False,False,ID
103.16.133.11:8080,False,False,False,ID
185.36.157.30:8080,True,False,False,RU
183.89.168.20:8080,False,False,False,TH
36.74.228.227:8080,True,False,False,ID
177.38.76.153:8080,False,False,False,BR
189.11.248.162:8080,False,False,False,BR
103.47.66.150:8080,False,False,False,IN
36.37.81.135:8080,False,False,False,ID
187.19.101.62:8080,False,False,False,BR
182.191.240.61:8080,False,False,False,PK
1.179.144.41:8080,False,False,False,TH
124.121.2.169:8080,True,False,True,TH
14.207.60.6:3128,False,False,False,TH
13.92.119.142:80,False,False,False,US
118.67.219.153:8080,False,False,False,BD
185.114.137.14:14,True,True,False,UA
189.61.87.178:8080,True,False,False,BR
189.203.8.179:3128,False,False,False,MX
103.81.77.15:83,False,False,False,IN
54.156.145.160:8080,False,False,False,US
195.208.250.22:3128,False,False,False,RU
116.17.102.83:3128,False,False,False,CN
115.124.73.163:8080,False,False,True,ID
171.101.130.200:8080,False,False,False,TH
185.132.242.46:3128,True,False,False,RU
186.157.242.229:8080,True,False,False,AR
181.44.84.32:3128,False,False,False,AR
139.228.33.223:8080,True,False,True,ID
202.98.216.29:3128,True,False,False,CN
163.53.185.98:8080,False,False,False,ID
47.107.127.226:8080,False,False,False,CN
52.56.100.107:3128,False,False,True,GB
45.150.188.198:8080,True,False,True,RU
190.85.115.78:3128,False,False,False,CO
68.183.144.198:8080,False,False,True,US
124.105.197.141:8080,False,False,False,PH
186.118.169.85:8080,False,False,False,CO
